total error;
avg err;MSE;
0,148833839929316;0,450618990462686;
programs error;
program;avg err;MSE;
0;0,249922351288325;0,672937173294901
1;0,354230533432429;0,586553730317307
2;-0,0266475308858284;0,314685530832023
3;0,0287499502520487;0,320347491595823
4;0,148821282028828;0,413104711198712
5;0,0183650388235137;0,477404358280516
6;0,262474322819699;0,656830618866263
7;0,327962934417832;0,643132753551625
8;0,184752361249425;0,378509439350504
9;0,0412520844474173;0,268250320500396
10;0,140246051336172;0,403994948073771
11;0,152546045401312;0,332316389978772
12;0,0946388441922783;0,364182343852773
13;0,186965399123324;0,353507408252674
14;0,0682279310129786;0,240623265942893

programs splitup;
program;splitup;
0;0,185966437918924;0,426312929697822;
1;3,9785638543236;0;
2;0,88361372270911;0;
3;0,347725176165519;0,462399969652291;
4;1,28175804307381;0;
5;0,178390591868639;0,145657183403239;
6;0,241635471979596;0,831955132883449;
7;1,97099825923857;0;
8;1,35982013609328;0;
9;1,19660432605508;0;
10;0,733130297059411;0;
11;1,29498708061809;0;
12;0,429607371486786;0,517392578225644;
13;1,68229462693334;0;
14;1,84794721730824;0;

buckets;
bucket;number;
-89;1;
-88;0;
-87;0;
-86;1;
-85;0;
-84;0;
-83;0;
-82;0;
-81;0;
-80;1;
-79;5;
-78;7;
-77;10;
-76;11;
-75;9;
-74;16;
-73;27;
-72;96;
-71;39;
-70;30;
-69;17;
-68;15;
-67;18;
-66;26;
-65;28;
-64;23;
-63;29;
-62;49;
-61;32;
-60;18;
-59;42;
-58;61;
-57;56;
-56;20;
-55;13;
-54;15;
-53;19;
-52;22;
-51;18;
-50;35;
-49;71;
-48;103;
-47;131;
-46;92;
-45;172;
-44;154;
-43;95;
-42;83;
-41;84;
-40;98;
-39;161;
-38;208;
-37;213;
-36;205;
-35;149;
-34;160;
-33;211;
-32;205;
-31;252;
-30;255;
-29;264;
-28;289;
-27;374;
-26;377;
-25;401;
-24;398;
-23;428;
-22;457;
-21;423;
-20;517;
-19;541;
