total error;
avg err;MSE;
0,00192148773554458;0,07317724121685;
programs error;
program;avg err;MSE;
0;-0,00397469262423731;0,0701200173177336
1;0,00335750248181165;0,0535289058222423
2;-0,0183953123945506;0,118058847442378
3;0,0083215623995253;0,0681903718815617
4;0,0100799654289117;0,0585655773671979
5;0,0121399011218049;0,0483868711227694

programs splitup;
program;splitup;
0;0,0227870048832404;0;0,321245220879479;0;0,241721198883778;0,370187415231904;
1;0,0844230704796007;0,876551309646263;0,15168475958376;0,165738165439986;0,00591110974600512;0,0608192260408836;
2;0,147191351597786;0;0,434094868308227;0,00824706783910378;0,145159740501962;0,123160091987519;
3;0,0539090793935065;0,224863130124125;0,227552550115483;0,0151421468982278;0,393352276364463;0,120485119421417;
4;0,0192412925013009;0,563089171303598;0,106400088634454;0;0,0440158239483526;0,408024117633336;
5;0,0223827298562625;0,245223720716937;0,247388220039834;0;0;0,334353298983607;

buckets;
bucket;number;
-46;2;
-45;1;
-44;1;
-43;4;
-42;1;
-41;0;
-40;0;
-39;0;
-38;1;
-37;2;
-36;2;
-35;2;
-34;3;
-33;6;
-32;17;
-31;11;
-30;13;
-29;15;
-28;17;
-27;17;
-26;9;
-25;16;
-24;11;
-23;24;
-22;32;
-21;42;
-20;26;
-19;29;
-18;28;
-17;24;
-16;31;
-15;37;
-14;68;
-13;60;
-12;48;
-11;104;
-10;106;
-9;84;
-8;175;
-7;220;
-6;181;
-5;298;
-4;451;
-3;656;
-2;637;
-1;1246;
0;3282;
1;1218;
2;919;
3;834;
4;523;
5;395;
6;353;
7;308;
8;148;
9;112;
10;150;
11;114;
12;95;
13;80;
14;71;
15;54;
16;31;
17;40;
18;50;
19;41;
20;21;
21;23;
22;17;
23;3;
24;8;
25;4;
26;3;
27;2;
28;1;
29;3;
30;3;
31;0;
32;1;
33;0;
34;1;
35;1;
36;2;
37;3;
38;0;
39;0;
40;2;
41;2;
42;0;
43;0;
44;2;
45;0;
46;1;
47;0;
48;1;
49;0;
50;0;
51;0;
52;2;
53;0;
54;0;
55;1;
56;1;
57;0;
58;0;
59;0;
60;0;
61;0;
62;0;
63;0;
64;0;
65;0;
66;0;
67;0;
68;0;
69;0;
70;0;
71;0;
72;0;
73;0;
74;0;
75;0;
76;0;
77;0;
78;0;
79;0;
80;0;
81;0;
82;0;
83;0;
84;0;
85;0;
86;0;
87;0;
88;0;
89;0;
90;0;
91;0;
92;0;
93;0;
94;0;
95;0;
96;0;
97;0;
98;0;
99;0;
100;0;
101;0;
102;0;
103;0;
104;0;
105;0;
106;0;
107;0;
108;0;
109;0;
110;0;
111;0;
112;0;
113;0;
114;0;
115;0;
116;0;
117;0;
118;0;
119;0;
120;0;
121;0;
122;0;
123;0;
124;0;
125;0;
126;0;
127;0;
128;0;
129;0;
130;0;
131;1;
132;0;
133;1;
