total error;
avg err;MSE;
0,0542291555606324;0,332635181036254;
programs error;
program;avg err;MSE;
0;0,269180390531625;0,689719449137456
1;0,013772262176003;0,0865795223962323
2;-0,0176778132283709;0,21557223785524
3;-0,0179914641670712;0,304983438904291
4;0,0430395333250144;0,142448081271562
5;0,0183650388235138;0,477404358280516
6;0,288912395282387;0,655063681765977
7;0,00683964624791696;0,144962379174563
8;0,0250837989320829;0,142304288470339
9;-0,0372610569855386;0,152516750963788
10;-0,00618316774539285;0,111724046334327
11;0,110178162330033;0,362120857406942
12;0,0201669547698095;0,110065006115373
13;0,0427834975568392;0,170639463868509

programs splitup;
program;splitup;
0;0,184621461018179;0,440148838203767;0;
1;0,145496373536379;0;1,87377637589187;
2;0,262653849058718;0,329917544935116;0,220736358234086;
3;0,195437666933831;0,461982662876276;0,0689181578513997;
4;0,208182188798111;0;0,623043534196803;
5;0,178390591868639;0,145657183403239;0;
6;0,277831591222378;0,794844227997591;0;
7;0,197926552028673;0,118704523854954;0,536470528538065;
8;0,404775708902037;0,15042029214035;0,39686873455389;
9;0,0284772162683831;0,0630603550882893;0,340261793097317;
10;0,358246426238327;0,0500926653353029;0,450328096189128;
11;0,461069803907826;0,48663693287273;0;
12;0,567610141119191;0;0,562372027188642;
13;1,03278905102668;0,0930590262346527;0,425846375883034;

buckets;
bucket;number;
-89;1;
-88;0;
-87;0;
-86;1;
-85;0;
-84;0;
-83;0;
-82;0;
-81;0;
-80;2;
-79;9;
-78;7;
-77;10;
-76;11;
-75;10;
-74;21;
-73;24;
-72;96;
-71;41;
-70;38;
-69;31;
-68;16;
-67;22;
-66;35;
-65;36;
-64;29;
-63;41;
-62;46;
-61;33;
-60;15;
-59;44;
-58;61;
-57;57;
-56;22;
-55;16;
-54;23;
-53;26;
-52;12;
-51;32;
-50;40;
-49;48;
-48;85;
-47;87;
-46;162;
-45;126;
-44;152;
-43;141;
-42;92;
-41;82;
-40;88;
-39;109;
-38;209;
-37;272;
-36;222;
-35;160;
-34;178;
-33;189;
-32;210;
-31;284;
-30;311;
-29;262;
-28;260;
-27;223;
-26;213;
-25;262;
-24;273;
-23;278;
-22;250;
-21;260;
-20;292;
-19;321;
