total error;
avg err;MSE;
0,0497585361634194;0,174944642705461;
programs error;
program;avg err;MSE;
0;0,0617670121387301;0,179189626880716
1;0,00273644141594888;0,136539321165079
2;0,0290949366938572;0,139466254614178
3;0,090954171720777;0,178451239856922
4;0,0139403114433857;0,142188976320998
5;0,0226135795243179;0,228877302602527
6;0,0831577562920159;0,219964132577553
7;0,0247693187753331;0,149373213335017
8;0,0749455516824152;0,178187084937332
9;0,0936062819474118;0,170526042403026

programs splitup;
program;splitup;
0;0,611046696463636;0,150543264825239;
1;1,01151499928875;0,092370951027429;
2;0,788684632119637;0,122529126849064;
3;1,84697508896797;0;
4;1,56192533303412;0,0486974734912947;
5;0,67563692580056;0,325958895143343;
6;1,4672619047619;0;
7;0,605816377389158;0,249507741280986;
8;1,67261904761905;0;
9;1,15178571428571;0;

buckets;
bucket;number;
-73;3;
-72;4;
-71;1;
-70;1;
-69;1;
-68;0;
-67;0;
-66;0;
-65;0;
-64;0;
-63;0;
-62;0;
-61;0;
-60;0;
-59;2;
-58;0;
-57;0;
-56;0;
-55;0;
-54;0;
-53;0;
-52;0;
-51;1;
-50;1;
-49;1;
-48;3;
-47;1;
-46;5;
-45;3;
-44;3;
-43;1;
-42;2;
-41;4;
-40;4;
-39;6;
-38;2;
-37;1;
-36;5;
-35;3;
-34;5;
-33;17;
-32;34;
-31;35;
-30;39;
-29;53;
-28;54;
-27;29;
-26;33;
-25;32;
-24;35;
-23;57;
-22;62;
-21;64;
-20;58;
-19;80;
-18;86;
-17;88;
-16;84;
-15;99;
-14;115;
-13;177;
-12;293;
-11;369;
-10;477;
-9;539;
-8;516;
-7;502;
-6;570;
-5;612;
-4;597;
-3;663;
-2;794;
-1;833;
0;2051;
1;1062;
2;818;
3;706;
4;709;
5;679;
6;684;
7;635;
8;628;
9;575;
10;516;
11;488;
12;471;
13;370;
14;341;
15;328;
16;330;
17;293;
18;231;
19;220;
20;217;
21;173;
22;159;
23;141;
24;135;
25;112;
26;85;
27;78;
28;74;
29;89;
30;66;
31;68;
32;61;
33;58;
34;51;
35;30;
36;45;
37;31;
38;36;
39;27;
40;35;
41;36;
42;26;
43;19;
44;29;
45;39;
46;23;
47;27;
48;28;
49;23;
50;21;
51;22;
52;17;
53;11;
54;26;
55;25;
56;19;
57;25;
58;27;
59;21;
60;18;
61;17;
62;14;
63;20;
64;13;
65;10;
66;23;
67;11;
68;12;
69;17;
70;13;
71;14;
72;5;
73;10;
74;19;
75;9;
76;15;
77;12;
78;9;
79;11;
80;14;
81;5;
82;11;
83;8;
84;5;
85;9;
86;6;
87;3;
88;2;
89;6;
90;4;
91;3;
92;2;
93;1;
94;3;
95;3;
96;4;
97;2;
98;3;
99;2;
100;1;
101;6;
102;2;
103;2;
104;2;
105;4;
106;1;
107;2;
108;4;
109;2;
110;0;
111;1;
112;0;
113;1;
114;0;
115;1;
116;0;
117;0;
118;1;
119;0;
120;0;
121;0;
122;0;
123;0;
124;0;
125;0;
126;0;
127;0;
128;0;
129;0;
130;0;
131;0;
132;0;
133;0;
134;0;
135;0;
136;0;
137;1;
138;1;
139;0;
140;0;
141;0;
142;1;
