total error;
avg err;MSE;
0,00785856351133483;0,14677902946847;
programs error;
program;avg err;MSE;
0;0,00880631216134275;0,0883475518677917
1;-0,034561079917115;0,212449694408934
2;0,012580076029105;0,202716508938616
3;0,0743561281379744;0,172347994020463
4;-0,00974115617382876;0,0988866976871697
5;-0,0145839671030879;0,124482614841649
6;-0,0230823945889962;0,102497298861516
7;0,00608685877090906;0,129480612960014
8;0,0561339321501273;0,15601199175148
9;0,00259092564692802;0,121913619041687

programs splitup;
program;splitup;
0;0,0608952294489054;0;1,87710991685352;0;0,0765306875060033;0;0;
1;0;0,354582842442943;0,274277717304377;0;0;0;0,118567657144889;
2;0,0762347054415123;0,0689884305207693;0,0453785783280913;0;0,676150803881028;0;0;
3;0;0;0,550700344194077;0;0;0,162005458848816;0,248847308547171;
4;0,0432362646564442;0;0,470686121423631;0,0129170777372493;0,151938330018679;0,0392135415054773;0,184130600570749;
5;0;0,110396678774706;0,469101551686991;0,170079778354923;0,14237165863357;0;0,0686987117002159;
6;0;0;0,342905618066801;0;0,119870967789787;0;0;
7;0;0;0,0801074703103862;0,706494512148512;0,285253384255315;0,284220367331241;0;
8;0,311466225865472;0;0,441203322697449;0;0;0,182772384790577;0,364183230161241;
9;0,174285847936599;0;0,628002229277714;0;0,602185206229437;0,193004481053727;0;

buckets;
bucket;number;
-82;1;
-81;0;
-80;0;
-79;0;
-78;0;
-77;0;
-76;0;
-75;8;
-74;4;
-73;7;
-72;2;
-71;7;
-70;4;
-69;2;
-68;4;
-67;3;
-66;3;
-65;8;
-64;4;
-63;1;
-62;10;
-61;0;
-60;5;
-59;7;
-58;1;
-57;21;
-56;9;
-55;25;
-54;17;
-53;21;
-52;11;
-51;22;
-50;30;
-49;20;
-48;16;
-47;19;
-46;8;
-45;17;
-44;19;
-43;16;
-42;36;
-41;30;
-40;59;
-39;33;
-38;37;
-37;47;
-36;62;
-35;62;
-34;66;
-33;65;
-32;75;
-31;95;
-30;72;
-29;104;
-28;101;
-27;91;
-26;78;
-25;113;
-24;110;
-23;137;
-22;135;
-21;164;
-20;153;
-19;175;
-18;242;
-17;293;
-16;341;
-15;380;
-14;488;
-13;575;
-12;786;
-11;678;
-10;577;
-9;631;
-8;820;
-7;1147;
-6;1624;
-5;1530;
-4;1725;
-3;1482;
-2;1644;
-1;1735;
0;4269;
1;1698;
2;1442;
3;1267;
4;1234;
5;1140;
6;1186;
7;1015;
8;1033;
9;958;
10;917;
11;759;
12;689;
13;543;
14;428;
15;350;
16;395;
17;296;
18;361;
19;332;
20;294;
21;304;
22;306;
23;266;
24;195;
25;167;
26;146;
27;130;
28;161;
29;135;
30;129;
31;127;
32;79;
33;170;
34;130;
35;89;
36;72;
37;41;
38;43;
39;36;
40;33;
41;26;
42;16;
43;22;
44;17;
45;20;
46;16;
47;10;
48;10;
49;5;
50;11;
51;10;
52;10;
53;4;
54;7;
55;16;
56;11;
57;10;
58;4;
59;3;
60;1;
61;2;
62;1;
63;2;
64;1;
65;0;
66;4;
67;3;
68;9;
69;8;
70;6;
71;3;
72;2;
73;0;
74;1;
75;0;
76;4;
77;1;
78;1;
79;2;
80;2;
81;3;
82;11;
83;4;
84;2;
85;12;
86;2;
87;4;
88;0;
89;0;
90;1;
91;0;
92;0;
93;0;
94;0;
95;0;
96;0;
97;0;
98;0;
99;0;
100;0;
101;2;
102;0;
103;0;
104;1;
105;6;
106;2;
107;3;
108;2;
109;8;
110;3;
111;1;
112;1;
113;2;
114;1;
115;1;
116;1;
117;0;
118;1;
