total error;
avg err;MSE;
-0,00335815398111061;0,0736277320879179;
programs error;
program;avg err;MSE;
0;-0,012071924365845;0,074280848418532
1;0,00807701320157868;0,111759727994064
2;-0,0167598996125207;0,0575687810070706
3;-0,00592057671513218;0,0562750330609067
4;0,00988461758636591;0,0512420758189073

programs splitup;
program;splitup;
0;0;0;0;0;0;0,506075875925349;0,241133303965704;
1;0,42140948882475;0;0;0;0,174543210171028;0;0,414429430145744;
2;0,0278147061822809;0,0614859978926967;0,842884088217224;0;0;0;0,485134608833485;
3;0;0;0,634902480134842;0;0;0,399289670117987;0;
4;0;0;0,230397277855714;0;0;0,439572575590246;0;

buckets;
bucket;number;
-42;3;
-41;0;
-40;0;
-39;0;
-38;0;
-37;2;
-36;4;
-35;0;
-34;0;
-33;3;
-32;2;
-31;1;
-30;3;
-29;1;
-28;5;
-27;8;
-26;15;
-25;17;
-24;6;
-23;8;
-22;7;
-21;19;
-20;17;
-19;31;
-18;26;
-17;35;
-16;49;
-15;47;
-14;47;
-13;67;
-12;66;
-11;70;
-10;105;
-9;207;
-8;185;
-7;220;
-6;222;
-5;392;
-4;659;
-3;902;
-2;922;
-1;562;
0;2234;
1;1097;
2;853;
3;475;
4;416;
5;242;
6;210;
7;113;
8;85;
9;93;
10;131;
11;113;
12;74;
13;53;
14;42;
15;42;
16;47;
17;25;
18;19;
19;10;
20;15;
21;16;
22;9;
23;5;
24;10;
25;9;
26;4;
27;6;
28;5;
29;7;
30;1;
31;5;
32;8;
33;3;
34;8;
35;2;
36;4;
37;2;
38;1;
39;3;
40;0;
41;0;
42;4;
43;4;
44;2;
45;3;
46;1;
47;3;
48;1;
49;2;
50;5;
51;3;
52;2;
53;0;
54;0;
55;0;
56;1;
57;0;
58;0;
59;0;
60;1;
61;0;
62;0;
63;0;
64;0;
65;0;
66;1;
