total error;
avg err;MSE;
0,00503976247004323;0,103306737863585;
programs error;
program;avg err;MSE;
0;0,00803753139355541;0,0696012660665592
1;0,015332079074845;0,108600410061392
2;0,0202187550479298;0,108763824296475
3;-0,0199759341677934;0,0983947931335994
4;0,00158638100167941;0,123376985202733

programs splitup;
program;splitup;
0;0;0;1,38499683498042;0;0;0;0;0;0,437539473398051;0;0;0,271419636762436;
1;0;0;0,443086262880127;0;0;0,153519701314039;0,126332956615202;0,0485840114382893;0,0790731254897481;0,1556580412711;0;0;
2;0;0;0,407868313384473;0,173883995478805;0,191785178276917;0;0;0,276497461385382;0,00138165977125818;0,0122070561821056;0;0;
3;0;0;0,308875729044407;0;0,117120268767079;0;0;0;0,0499760021937818;0;0;0;
4;0;0;0,396331690555412;0,0603009094845485;0,393489763163888;0;0;0;0,417240723667137;0,168356140811889;0,165084740533613;0;

buckets;
bucket;number;
-73;2;
-72;0;
-71;2;
-70;3;
-69;1;
-68;1;
-67;1;
-66;5;
-65;1;
-64;3;
-63;0;
-62;0;
-61;0;
-60;0;
-59;2;
-58;10;
-57;0;
-56;0;
-55;0;
-54;14;
-53;1;
-52;4;
-51;5;
-50;7;
-49;0;
-48;4;
-47;5;
-46;3;
-45;2;
-44;4;
-43;4;
-42;5;
-41;9;
-40;4;
-39;6;
-38;5;
-37;4;
-36;17;
-35;16;
-34;20;
-33;26;
-32;22;
-31;19;
-30;26;
-29;14;
-28;40;
-27;35;
-26;30;
-25;42;
-24;24;
-23;26;
-22;42;
-21;49;
-20;37;
-19;58;
-18;91;
-17;109;
-16;145;
-15;131;
-14;135;
-13;217;
-12;254;
-11;383;
-10;382;
-9;243;
-8;277;
-7;311;
-6;420;
-5;500;
-4;891;
-3;991;
-2;1024;
-1;1402;
0;3227;
1;1192;
2;937;
3;885;
4;728;
5;642;
6;586;
7;595;
8;599;
9;540;
10;455;
11;380;
12;377;
13;228;
14;174;
15;181;
16;117;
17;161;
18;154;
19;121;
20;97;
21;96;
22;69;
23;59;
24;47;
25;35;
26;12;
27;23;
28;15;
29;22;
30;37;
31;22;
32;7;
33;4;
34;4;
35;1;
36;4;
37;0;
38;4;
39;7;
40;2;
41;0;
42;0;
43;2;
44;4;
45;1;
46;0;
47;0;
48;0;
49;1;
50;2;
51;0;
52;0;
53;0;
54;1;
55;0;
56;0;
57;0;
58;0;
59;4;
60;0;
61;1;
62;0;
63;0;
64;0;
65;0;
66;0;
67;0;
68;0;
69;1;
70;1;
71;1;
72;0;
73;1;
74;0;
75;0;
76;0;
77;0;
78;0;
79;0;
80;0;
81;0;
82;1;
83;0;
84;0;
85;0;
86;1;
87;0;
88;0;
89;0;
90;0;
91;0;
92;0;
93;0;
94;0;
95;1;
