total error;
avg err;MSE;
-0,00664466655613963;0,0602563713016927;
programs error;
program;avg err;MSE;
0;-0,012071924365845;0,074280848418532
1;-0,0184707827299473;0,0567256503130092
2;-0,00592057671513218;0,0562750330609067
3;0,00988461758636591;0,0512420758189073

programs splitup;
program;splitup;
0;0;0;0;0;0;0,506075875925349;0,241133303965704;0;
1;0;0,060534412606707;0,827863997015958;0;0;0;0,442363430458774;0,0925773367809777;
2;0;0;0,634902480134842;0;0;0,399289670117987;0;0;
3;0;0;0,230397277855714;0;0;0,439572575590246;0;0;

buckets;
bucket;number;
-42;3;
-41;0;
-40;0;
-39;0;
-38;0;
-37;0;
-36;3;
-35;0;
-34;0;
-33;2;
-32;0;
-31;0;
-30;0;
-29;3;
-28;5;
-27;7;
-26;10;
-25;13;
-24;2;
-23;6;
-22;5;
-21;11;
-20;13;
-19;15;
-18;19;
-17;23;
-16;36;
-15;30;
-14;18;
-13;40;
-12;43;
-11;40;
-10;84;
-9;149;
-8;137;
-7;142;
-6;139;
-5;337;
-4;623;
-3;769;
-2;721;
-1;434;
0;1994;
1;991;
2;757;
3;386;
4;315;
5;163;
6;124;
7;60;
8;52;
9;55;
10;83;
11;67;
12;48;
13;29;
14;23;
15;30;
16;34;
17;15;
18;9;
19;6;
20;8;
21;10;
22;7;
23;3;
24;3;
25;3;
26;2;
27;4;
28;2;
29;0;
30;1;
31;1;
32;0;
33;0;
34;3;
35;1;
36;1;
