total error;
avg err;MSE;
0,0138015622510124;0,135515610587705;
programs error;
program;avg err;MSE;
0;0,00880631216134281;0,0883475518677917
1;-0,0108452079958556;0,199683640403663
2;0,0743561281379744;0,172347994020463
3;-0,00795533834614215;0,0991456848364079
4;0,0180094970327511;0,107668956646986
5;-0,0230823945889962;0,102497298861516
6;0,00620020606098587;0,129619010517392
7;0,0561339321501273;0,15601199175148
8;0,00259092564692808;0,121913619041687

programs splitup;
program;splitup;
0;0,0608952294489055;0;1,87710991685352;0;0,0765306875060033;0;0;0;
1;0;0,0441447479754899;0,034929979763144;0;0,643219876620293;0;0;0,123950977906778;
2;0;0;0,550700344194077;0;0;0,162005458848816;0,248847308547171;0;
3;0,040005590999607;0;0,471053347341438;0;0,145475160888782;0,0612173289368764;0,174754694550072;0,0182029934150999;
4;0;0;0,407920606174645;0,180484781009801;0,192542519649133;0;0,000540009374802719;0,280563598036752;
5;0;0;0,342905618066801;0;0,119870967789787;0;0;0;
6;0;0;0,080126659872463;0,711577124074099;0,283489995722379;0,281533216659661;0;0;
7;0,311466225865472;0;0,441203322697449;0;0;0,182772384790577;0,364183230161241;0;
8;0,174285847936599;0;0,628002229277714;0;0,602185206229437;0,193004481053728;0;0;

buckets;
bucket;number;
-85;1;
-84;0;
-83;0;
-82;0;
-81;0;
-80;0;
-79;0;
-78;0;
-77;0;
-76;0;
-75;2;
-74;0;
-73;5;
-72;1;
-71;7;
-70;4;
-69;1;
-68;6;
-67;3;
-66;5;
-65;8;
-64;5;
-63;0;
-62;4;
-61;4;
-60;3;
-59;3;
-58;1;
-57;1;
-56;2;
-55;5;
-54;4;
-53;2;
-52;6;
-51;7;
-50;8;
-49;8;
-48;5;
-47;5;
-46;7;
-45;8;
-44;14;
-43;11;
-42;13;
-41;17;
-40;9;
-39;4;
-38;11;
-37;18;
-36;20;
-35;32;
-34;28;
-33;30;
-32;40;
-31;47;
-30;42;
-29;47;
-28;74;
-27;64;
-26;72;
-25;106;
-24;112;
-23;113;
-22;128;
-21;106;
-20;120;
-19;124;
-18;243;
-17;296;
-16;331;
-15;381;
-14;484;
-13;492;
-12;688;
-11;527;
-10;472;
-9;485;
-8;601;
-7;990;
-6;1393;
-5;1266;
-4;1615;
-3;1317;
-2;1537;
-1;1774;
0;4344;
1;1563;
2;1323;
3;1231;
4;1148;
5;1050;
6;1131;
7;982;
8;968;
9;871;
10;916;
11;744;
12;648;
13;520;
14;469;
15;350;
16;387;
17;287;
18;295;
19;262;
20;202;
21;234;
22;248;
23;175;
24;164;
25;129;
26;88;
27;102;
28;99;
29;76;
30;108;
31;103;
32;73;
33;166;
34;122;
35;95;
36;65;
37;37;
38;36;
39;34;
40;31;
41;23;
42;16;
43;9;
44;13;
45;13;
46;7;
47;5;
48;8;
49;4;
50;3;
51;4;
52;6;
53;1;
54;2;
55;14;
56;10;
57;6;
58;5;
59;3;
60;1;
61;2;
62;1;
63;1;
64;1;
65;0;
66;4;
67;3;
68;9;
69;8;
70;8;
71;4;
72;3;
73;0;
74;0;
75;0;
76;2;
77;4;
78;1;
79;2;
80;3;
81;3;
82;7;
83;6;
84;9;
85;8;
86;3;
87;0;
88;1;
89;0;
90;0;
91;0;
92;0;
93;0;
94;0;
95;1;
96;0;
97;0;
98;2;
99;0;
100;1;
101;3;
102;8;
103;4;
104;4;
105;5;
106;0;
107;1;
108;1;
109;1;
110;2;
111;1;
112;1;
113;0;
114;1;
