total error;
avg err;MSE;
0,0255340308464659;0,167735639200129;
programs error;
program;avg err;MSE;
0;0,00880631216134271;0,0883475518677917
1;0,0135805883670379;0,231135040901589
2;0,0125800760291049;0,202716508938616
3;0,103695644242644;0,209691775905907
4;0,0201239648452627;0,129786801773713
5;-0,00590123824119313;0,129468883161497
6;-0,0230823945889962;0,102497298861516
7;0,0990925737806925;0,259544133513719
8;0,00620020606098592;0,129619010517393
9;0,0446225420737079;0,142062138168273
10;0,00115606458053724;0,121661895047749

programs splitup;
program;splitup;
0;0,0608952294489053;0;1,87710991685352;0;0,0765306875060033;0;
1;0;0,304269479023118;0,317086804831108;0,307456047578686;0;0;
2;0,0762347054415123;0,0689884305207693;0,0453785783280913;0;0,676150803881028;0;
3;0;0;0,680517320776541;0;0,0284206682685767;0,362202853673595;
4;0,113906937528644;0;0,541820853232567;0;0,0894930443768665;0,312145780363727;
5;0;0,107433421955352;0,508730518611995;0,106782989577543;0,147016477214521;0,135376193552165;
6;0;0;0,342905618066801;0;0,119870967789787;0;
7;0,127688909912551;0;0,49582806728188;0;0;0,758000223783778;
8;0;0;0,080126659872463;0,711577124074101;0,283489995722378;0,28153321665966;
9;0,499274150322652;0;0,571277909259542;0;0;0,197358748298796;
10;0,173954169641923;0;0,628791901896357;0;0,60477891779199;0,179675729063473;

buckets;
bucket;number;
-82;1;
-81;0;
-80;0;
-79;0;
-78;6;
-77;0;
-76;2;
-75;4;
-74;3;
-73;5;
-72;0;
-71;7;
-70;5;
-69;1;
-68;5;
-67;5;
-66;4;
-65;7;
-64;4;
-63;1;
-62;7;
-61;2;
-60;7;
-59;3;
-58;4;
-57;13;
-56;17;
-55;13;
-54;35;
-53;23;
-52;18;
-51;28;
-50;21;
-49;9;
-48;13;
-47;14;
-46;24;
-45;10;
-44;10;
-43;30;
-42;20;
-41;39;
-40;24;
-39;43;
-38;42;
-37;31;
-36;26;
-35;37;
-34;51;
-33;50;
-32;60;
-31;83;
-30;72;
-29;81;
-28;80;
-27;123;
-26;93;
-25;107;
-24;148;
-23;141;
-22;146;
-21;173;
-20;160;
-19;210;
-18;252;
-17;312;
-16;303;
-15;408;
-14;443;
-13;542;
-12;764;
-11;639;
-10;724;
-9;832;
-8;986;
-7;1136;
-6;1376;
-5;1440;
-4;1728;
-3;1986;
-2;2230;
-1;2381;
0;4119;
1;1485;
2;1509;
3;1354;
4;1309;
5;1208;
6;1248;
7;1076;
8;969;
9;951;
10;895;
11;837;
12;863;
13;764;
14;469;
15;444;
16;416;
17;340;
18;423;
19;388;
20;398;
21;313;
22;337;
23;303;
24;291;
25;262;
26;222;
27;181;
28;158;
29;146;
30;179;
31;163;
32;163;
33;159;
34;145;
35;109;
36;114;
37;94;
38;88;
39;73;
40;95;
41;92;
42;84;
43;92;
44;69;
45;90;
46;53;
47;54;
48;48;
49;47;
50;27;
51;32;
52;20;
53;38;
54;26;
55;36;
56;20;
57;26;
58;16;
59;12;
60;12;
61;6;
62;8;
63;4;
64;4;
65;6;
66;2;
67;2;
68;9;
69;7;
70;4;
71;11;
72;10;
73;9;
74;12;
75;16;
76;18;
77;14;
78;4;
79;2;
80;6;
81;5;
82;13;
83;8;
84;8;
85;14;
86;4;
87;6;
88;2;
89;3;
90;3;
91;8;
92;0;
93;1;
94;4;
95;1;
96;2;
97;1;
98;6;
99;3;
100;2;
101;3;
102;0;
103;0;
104;12;
105;9;
106;3;
107;5;
108;2;
109;8;
110;3;
111;2;
112;2;
113;3;
114;4;
115;3;
116;1;
117;0;
118;2;
119;2;
120;0;
121;0;
122;0;
123;1;
124;0;
125;0;
126;0;
127;0;
128;0;
129;2;
130;0;
131;1;
132;0;
133;0;
134;0;
135;0;
136;0;
137;0;
138;0;
139;0;
140;0;
141;0;
142;0;
143;0;
144;0;
145;0;
146;1;
147;1;
148;0;
149;0;
150;0;
151;0;
152;0;
153;0;
154;0;
155;0;
156;0;
157;0;
158;0;
159;0;
160;0;
161;0;
162;0;
163;0;
164;0;
165;0;
166;0;
167;0;
168;0;
169;0;
170;0;
171;0;
172;0;
173;0;
174;0;
175;0;
176;0;
177;0;
178;0;
179;0;
180;0;
181;1;
182;0;
183;0;
184;0;
185;0;
186;0;
187;0;
188;0;
189;0;
190;0;
191;0;
192;0;
193;0;
194;0;
195;0;
196;0;
197;0;
198;0;
199;0;
200;0;
201;0;
202;0;
203;0;
204;0;
205;0;
206;0;
207;0;
208;0;
209;0;
210;0;
211;0;
212;0;
213;0;
214;0;
215;0;
216;0;
217;0;
218;0;
219;0;
220;0;
221;0;
222;0;
223;0;
224;0;
225;0;
226;0;
227;0;
228;0;
229;0;
230;0;
231;0;
232;0;
233;0;
234;0;
235;0;
236;0;
237;0;
238;0;
239;0;
240;0;
241;0;
242;0;
243;0;
244;0;
245;0;
246;0;
247;0;
248;0;
249;0;
250;0;
251;0;
252;0;
253;0;
254;0;
255;0;
256;0;
257;0;
258;0;
259;0;
260;0;
261;0;
262;0;
263;0;
264;0;
265;0;
266;0;
267;0;
268;0;
269;0;
270;0;
271;0;
272;0;
273;0;
274;0;
275;0;
276;0;
277;0;
278;0;
279;0;
280;0;
281;0;
282;0;
283;0;
284;0;
285;0;
286;0;
287;0;
288;0;
289;0;
290;0;
291;0;
292;0;
293;0;
294;0;
295;0;
296;0;
297;0;
298;0;
299;0;
300;0;
301;1;
