total error;
avg err;MSE;
0,0122395835538824;0,103801006009198;
programs error;
program;avg err;MSE;
0;-0,0125892698217263;0,101782982588657
1;-0,0138502793811882;0,116611764527369
2;0,0528191744993429;0,14828220097936
3;-0,00505774987242471;0,0467139659904006
4;-0,00545911313997412;0,129806487733711
5;0,0238133009883101;0,0909106524997043
6;0,0215333998262574;0,08186629299102
7;0,0367072053324625;0,0792841140275392

programs splitup;
program;splitup;
0;1,21081013303495;0,000490594177988685;0,157872300280771;0,0679503731936105;
1;0,654356520082293;0,0867796817378676;0,256487350317708;0;
2;2,03737071184537;0;0,373075303037394;0;
3;0,427539528472969;0,0382730851454507;0,925886030207428;0;
4;0,73710898461615;0,0545997013168657;0,000775955129639151;0,232541507843671;
5;0,617793779772393;0,215532450035587;0,414939424837339;0;
6;0,95085389643725;0;0,727540299120435;0;
7;0,870104035054706;0;0,400602166724912;0;

buckets;
bucket;number;
-54;1;
-53;0;
-52;2;
-51;0;
-50;1;
-49;0;
-48;0;
-47;0;
-46;0;
-45;0;
-44;0;
-43;0;
-42;0;
-41;0;
-40;1;
-39;0;
-38;0;
-37;0;
-36;2;
-35;4;
-34;4;
-33;8;
-32;6;
-31;5;
-30;16;
-29;14;
-28;21;
-27;13;
-26;13;
-25;14;
-24;27;
-23;28;
-22;37;
-21;48;
-20;46;
-19;54;
-18;59;
-17;95;
-16;105;
-15;67;
-14;85;
-13;99;
-12;124;
-11;170;
-10;171;
-9;309;
-8;282;
-7;369;
-6;404;
-5;486;
-4;546;
-3;709;
-2;927;
-1;1282;
0;3609;
1;1484;
2;1075;
3;820;
4;529;
5;368;
6;354;
7;277;
8;266;
9;275;
10;340;
11;308;
12;252;
13;236;
14;159;
15;159;
16;148;
17;103;
18;92;
19;70;
20;60;
21;50;
22;56;
23;41;
24;30;
25;18;
26;31;
27;28;
28;31;
29;24;
30;18;
31;25;
32;13;
33;9;
34;6;
35;3;
36;6;
37;2;
38;1;
39;7;
40;9;
41;5;
42;4;
43;9;
44;5;
45;2;
46;7;
47;3;
48;1;
49;2;
50;2;
51;2;
52;3;
53;1;
54;1;
55;1;
56;0;
57;2;
58;1;
59;3;
60;2;
61;3;
62;3;
63;1;
64;3;
65;6;
66;2;
67;7;
68;5;
69;3;
70;3;
71;1;
72;2;
73;3;
74;2;
75;3;
76;3;
77;1;
78;2;
79;0;
80;0;
81;0;
82;0;
83;0;
84;1;
85;0;
86;0;
87;0;
88;1;
89;0;
90;0;
91;0;
92;0;
93;0;
94;0;
95;1;
96;0;
97;0;
98;0;
99;1;
100;0;
101;1;
102;1;
103;0;
104;1;
105;1;
106;0;
107;0;
108;0;
109;0;
110;0;
111;0;
112;1;
113;0;
114;0;
115;0;
116;1;
117;1;
118;0;
119;0;
120;0;
121;0;
122;0;
123;0;
124;0;
125;0;
126;0;
127;0;
128;0;
129;0;
130;0;
131;0;
132;0;
133;0;
134;0;
135;0;
136;0;
137;0;
138;0;
139;0;
140;0;
141;0;
142;0;
143;0;
144;0;
145;0;
146;0;
147;0;
148;0;
149;0;
150;0;
151;0;
152;0;
153;0;
154;0;
155;0;
156;0;
157;0;
158;0;
159;0;
160;0;
161;0;
162;0;
163;0;
164;0;
165;0;
166;0;
167;0;
168;0;
169;0;
170;0;
171;0;
172;0;
173;0;
174;0;
175;0;
176;0;
177;0;
178;0;
179;0;
180;0;
181;0;
182;0;
183;0;
184;0;
185;0;
186;0;
187;0;
188;0;
189;0;
190;0;
191;0;
192;0;
193;0;
194;0;
195;0;
196;0;
197;0;
198;0;
199;0;
200;0;
201;0;
202;0;
203;0;
204;0;
205;0;
206;0;
207;0;
208;0;
209;0;
210;0;
211;0;
212;0;
213;0;
214;0;
215;0;
216;1;
217;0;
218;0;
219;1;
