total error;
avg err;MSE;
0,223379774042747;0,797286004566681;
programs error;
program;avg err;MSE;
0;0,119491306184627;0,887232904851888
1;0,354230533432429;0,586553730317307
2;-0,0191691119684842;0,316545157214046
3;0,0941105598644606;0,558382566474235
4;0,148821282028828;0,413104711198712
5;0,0664892341281707;0,665089377896792
6;0,651593752748574;1,35663149089658
7;0,327962934417832;0,643132753551625
8;0,184752361249425;0,378509439350504
9;0,0467995148750518;0,270550185804682
10;0,140246051336172;0,403994948073771
11;0,152546045401312;0,332316389978772
12;0,216393889440478;0,611373412317522
13;0,186965399123324;0,353507408252675
14;0,834614701408758;2,17159372317358
15;0,0682279310129786;0,240623265942893

programs splitup;
program;splitup;
0;0,387760547601472;
1;3,9785638543236;
2;0,890402664833587;
3;0,68387713709796;
4;1,28175804307381;
5;0,279044162143633;
6;0,937525783082784;
7;1,97099825923857;
8;1,35982013609328;
9;1,20297941941368;
10;0,733130297059411;
11;1,29498708061809;
12;0,860135166795597;
13;1,68229462693335;
14;0,675339091734939;
15;1,84794721730824;

buckets;
bucket;number;
-89;1;
-88;0;
-87;1;
-86;2;
-85;2;
-84;1;
-83;7;
-82;56;
-81;87;
-80;54;
-79;65;
-78;79;
-77;49;
-76;24;
-75;77;
-74;96;
-73;51;
-72;25;
-71;25;
-70;45;
-69;37;
-68;56;
-67;85;
-66;109;
-65;52;
-64;57;
-63;131;
-62;79;
-61;104;
-60;97;
-59;86;
-58;104;
-57;111;
-56;89;
-55;126;
-54;120;
-53;111;
-52;140;
-51;184;
-50;169;
-49;155;
-48;176;
-47;145;
-46;138;
-45;151;
-44;151;
-43;177;
-42;197;
-41;208;
-40;201;
-39;261;
-38;346;
-37;389;
-36;232;
-35;326;
-34;297;
-33;346;
-32;356;
-31;399;
-30;434;
-29;454;
-28;434;
-27;457;
-26;481;
-25;424;
-24;439;
-23;488;
-22;580;
-21;459;
-20;521;
-19;564;
-18;571;
-17;659;
-16;660;
-15;665;
-14;668;
-13;752;
-12;732;
-11;852;
-10;955;
-9;893;
-8;825;
-7;937;
-6;919;
-5;920;
-4;874;
-3;797;
-2;842;
-1;825;
0;1750;
1;865;
2;859;
3;790;
4;829;
5;950;
6;928;
7;963;
8;1006;
9;1067;
10;935;
11;894;
12;791;
13;806;
14;848;
15;793;
16;828;
17;730;
18;730;
19;696;
20;577;
21;344;
22;488;
23;562;
24;609;
25;574;
26;510;
27;498;
28;465;
29;365;
30;353;
31;340;
32;313;
33;334;
34;320;
35;272;
36;241;
37;235;
38;231;
39;216;
40;218;
41;181;
42;159;
43;169;
44;189;
45;201;
46;179;
47;195;
48;211;
49;216;
50;211;
51;236;
52;212;
53;188;
54;210;
55;221;
56;216;
57;153;
58;195;
59;196;
60;210;
61;208;
62;219;
63;209;
64;256;
65;240;
66;184;
67;192;
68;166;
69;174;
70;153;
71;165;
72;151;
73;180;
74;174;
75;183;
76;174;
77;165;
78;163;
79;123;
80;145;
81;143;
82;115;
83;126;
84;125;
85;96;
86;146;
87;115;
88;90;
89;126;
90;129;
91;121;
92;103;
93;121;
94;121;
95;99;
96;90;
97;77;
98;64;
99;59;
100;55;
101;73;
102;54;
103;69;
104;54;
105;54;
106;57;
107;53;
108;56;
109;57;
110;52;
111;36;
112;46;
113;51;
114;49;
115;48;
116;55;
117;40;
118;48;
119;46;
120;45;
121;50;
122;40;
123;53;
124;49;
125;25;
126;40;
127;39;
128;48;
129;53;
130;46;
131;40;
132;19;
133;29;
134;21;
135;20;
136;25;
137;12;
138;24;
139;25;
140;33;
141;37;
142;27;
143;20;
144;22;
145;19;
146;27;
147;28;
148;28;
149;34;
150;38;
151;30;
152;34;
153;27;
154;30;
155;48;
156;35;
157;44;
158;29;
159;34;
160;32;
161;36;
162;43;
163;26;
164;26;
165;20;
166;34;
167;18;
168;23;
169;23;
170;28;
171;21;
172;20;
173;37;
174;24;
175;16;
176;23;
177;17;
178;15;
179;17;
180;23;
181;16;
182;20;
183;18;
184;33;
185;14;
186;29;
187;21;
188;22;
189;28;
190;18;
191;19;
192;38;
193;24;
194;16;
195;23;
196;21;
197;23;
198;22;
199;15;
200;23;
201;20;
202;17;
203;22;
204;16;
205;28;
206;18;
207;18;
208;28;
209;23;
210;14;
211;18;
212;17;
213;14;
214;24;
215;13;
216;26;
217;20;
218;15;
219;22;
220;19;
221;23;
222;28;
223;40;
224;22;
225;19;
226;21;
227;17;
228;17;
229;16;
230;15;
231;13;
232;12;
233;18;
234;21;
235;12;
236;13;
237;19;
238;17;
239;18;
240;10;
241;17;
242;15;
243;13;
244;8;
245;10;
246;14;
247;13;
248;8;
249;16;
250;8;
251;9;
252;11;
253;11;
254;10;
255;5;
256;13;
257;8;
