total error;
avg err;MSE;
0,0148676444826497;0,181924250091192;
programs error;
program;avg err;MSE;
0;0,00880631216134271;0,0883475518677917
1;0,0135805883670379;0,231135040901589
2;0,0125800760291049;0,202716508938616
3;0,0702226862993023;0,167726958389217
4;0,0728026752355486;0,405600048789655
5;-0,0272702564733649;0,105122382678981
6;0,00795287496369449;0,129113632741085
7;-0,0230823945889962;0,102497298861516
8;-0,00618316774539281;0,111724046334328
9;0,0261097745263756;0,155020592344784
10;0,0201669547698093;0,110065006115373
11;0,00272561024732854;0,124181435727443

programs splitup;
program;splitup;
0;0,0608952294489053;0;1,87710991685352;0;0,0765306875060033;
1;0;0,304269479023118;0,317086804831108;0,307456047578686;0;
2;0,0762347054415123;0,0689884305207693;0,0453785783280913;0;0,676150803881028;
3;0;0;0,692602014080614;0,164187692739471;0,0484323965746839;
4;0,0250796667134921;0,0234614649805855;0;0,62530165422584;0,0127413026593784;
5;0,140201410668364;0;0,545625022746188;0;0,149743167522665;
6;0;0,0830213307692069;0,493078193904048;0,317384212705426;0,162582239961056;
7;0;0;0,342905618066801;0;0,119870967789787;
8;0,358246426238328;0,0500926653353029;0,450328096189128;0;0;
9;0,156553444380883;0;0,00530780983704777;1,12280714920054;0,148772154039998;
10;0,567610141119191;0;0,562372027188643;0;0;
11;0,26795709163964;0;0,593578346035658;0,112675659589901;0,580678775476557;

buckets;
bucket;number;
-90;1;
-89;0;
-88;0;
-87;0;
-86;0;
-85;0;
-84;0;
-83;0;
-82;1;
-81;0;
-80;0;
-79;0;
-78;6;
-77;0;
-76;2;
-75;4;
-74;2;
-73;6;
-72;0;
-71;7;
-70;5;
-69;1;
-68;6;
-67;5;
-66;5;
-65;8;
-64;10;
-63;12;
-62;14;
-61;19;
-60;17;
-59;10;
-58;2;
-57;11;
-56;24;
-55;27;
-54;44;
-53;21;
-52;31;
-51;45;
-50;26;
-49;26;
-48;34;
-47;40;
-46;63;
-45;54;
-44;61;
-43;56;
-42;47;
-41;54;
-40;52;
-39;73;
-38;74;
-37;97;
-36;82;
-35;120;
-34;163;
-33;96;
-32;74;
-31;116;
-30;123;
-29;93;
-28;138;
-27;112;
-26;171;
-25;158;
-24;200;
-23;212;
-22;215;
-21;212;
-20;207;
-19;264;
-18;334;
-17;347;
-16;371;
-15;436;
-14;454;
-13;501;
-12;796;
-11;688;
-10;684;
-9;781;
-8;901;
-7;1313;
-6;1181;
-5;1701;
-4;1744;
-3;1743;
-2;2174;
-1;1959;
0;5512;
1;1902;
2;1688;
3;1476;
4;1460;
5;1382;
6;1323;
7;1221;
8;1186;
9;1120;
10;1121;
11;972;
12;942;
13;771;
14;611;
15;516;
16;432;
17;382;
18;413;
19;385;
20;371;
21;353;
22;263;
23;248;
24;257;
25;244;
26;202;
27;160;
28;161;
29;167;
30;156;
31;131;
32;125;
33;122;
34;132;
35;115;
36;108;
37;83;
38;82;
39;45;
40;76;
41;40;
42;43;
43;43;
44;35;
45;55;
46;35;
47;24;
48;40;
49;39;
50;27;
51;29;
52;15;
53;29;
54;31;
55;41;
56;40;
57;29;
58;21;
59;21;
60;17;
61;7;
62;9;
63;12;
64;17;
65;9;
66;19;
67;14;
68;9;
69;8;
70;10;
71;4;
72;9;
73;8;
74;8;
75;2;
76;5;
77;3;
78;4;
79;2;
80;4;
81;8;
82;10;
83;9;
84;3;
85;12;
86;4;
87;5;
88;0;
89;0;
90;2;
91;0;
92;3;
93;0;
94;0;
95;0;
96;0;
97;4;
98;0;
99;1;
100;0;
101;2;
102;0;
103;1;
104;2;
105;6;
106;4;
107;7;
108;4;
109;11;
110;3;
111;2;
112;2;
113;3;
114;4;
115;2;
116;4;
117;0;
118;2;
119;5;
120;0;
121;0;
122;0;
123;1;
124;1;
125;3;
126;4;
127;4;
128;2;
129;0;
130;1;
131;3;
132;5;
133;7;
134;5;
135;0;
136;0;
137;0;
138;0;
139;1;
140;3;
141;7;
142;4;
143;1;
144;0;
145;1;
146;1;
147;0;
148;2;
149;2;
150;2;
151;2;
152;0;
153;2;
154;1;
155;3;
156;0;
157;0;
158;0;
159;0;
160;5;
161;2;
162;5;
163;4;
164;6;
165;5;
166;3;
167;1;
168;1;
169;0;
170;0;
171;0;
172;0;
173;0;
174;0;
175;0;
176;0;
177;0;
178;0;
179;0;
180;0;
181;0;
182;0;
183;0;
184;0;
185;0;
186;1;
187;0;
188;0;
189;2;
190;0;
191;3;
192;9;
193;1;
194;2;
195;0;
196;0;
197;0;
198;0;
199;0;
200;0;
201;0;
202;0;
203;0;
204;0;
205;0;
206;0;
207;0;
208;0;
209;0;
210;0;
211;0;
212;0;
213;0;
214;0;
215;0;
216;0;
217;0;
218;0;
219;0;
220;0;
221;0;
222;0;
223;1;
