program;462.libquantum_linux64;465.tonto_linux64;459.gemsFDTD_linux64;450.soplex_linux64
heap_linux64_4194304 ;0.0016366848812659;0;0;0.00281226461062557
heap_linux64_16777216 ;0.00494485751036634;0;0;0.0188974107624503
heap_linux64_67108864 ;0.0160093601067781;0;0;0.110956427109871
heap_linux64_268435456 ;0.0241135074721448;0;0;0.674737206734793
