program;randMemAccess_linux64;simpleINT_linux64;simpleFPU_linux64
merges_linux64_4194304 ;0.053128167580192;0.708978399221024;0
merges_linux64_16777216 ;0.23152215268162;0.692198427642228;0
merges_linux64_67108864 ;1.81809916813366;0;0
merges_linux64_268435456 ;7.16730241832618;0;0
