program;462.libquantum_linux64;465.tonto_linux64;459.gemsFDTD_linux64
merges_linux64_4194304 ;0.00191385030127472;0;0
merges_linux64_16777216 ;0.0083211313773598;0;0
merges_linux64_67108864 ;0.0360435263932909;0;0
merges_linux64_268435456 ;0.155334853666062;0;0
