program;measured;estimated;error;perc
pi_linux64_268435456 ;0,459908092;0,626138716;0,166230624;0,361443137
pi_linux_268435456 ;26,76018753;26,76018753;0;0
pi_win_268435456 ;30,56954803;28,2939884;2,275559634;0,074438773
;;;;
;;;;0,14529397
;;;;0,155832452
