program;462.libquantum_linux64;465.tonto_linux64;459.gemsFDTD_linux64;simpleFPU_linux64
401.bzip2_linux64_0 ;0.789513043197029;0;0;0
435.gromacs_linux64_0 ;0.356853281949816;0.572718205805735;0;3.08233765916191
445.gobmk_linux64_0 ;0.694263645887794;0;0;0
444.namd_linux64_0 ;0.612468539406143;0;0;0.209005065392504
410.bwaves_linux64_0 ;0.556104658012642;0.154420157192928;0;0
429.mcf_linux64_0 ;0.0881894100309441;0;0.764697566983001;0
464.h264ref_linux64_0 ;0.606017055216975;0.404334970023265;0;0
458.sjeng_linux64_0 ;0.817182783523301;0;0;0
471.omnetpp_linux64_0 ;0.318906205179982;0;0.598725806417731;0
434.zeusmp_linux64_0 ;0.0226446539559284;0.605253997196843;0.363252926270298;0.316946750151156
471.omnetpp_linux64_0 ;0.318906205179982;0;0.598725806417731;0
436.cactusADM_linux64_0 ;0;0;1.1667842590218;6.19055545535743
465.tonto_linux64_0 ;0;1;0;0
483.xalancbmk_linux64_0 ;0.300501595248465;0.186481443645599;0.223874749061618;0
462.libquantum_linux64_0 ;1;0;0;0
470.lbm_linux64_0 ;0;0;0.593490766187446;4.99394484811226
437.leslie3d_linux64_0 ;0.0489750083018481;0.338852973796579;0.513158365462341;0.579187017826526
433.milc_linux64_0 ;0;0.114016701101377;1.03704832852066;0.153424894606665
450.soplex_linux64_0 ;0.293748370651598;0;0.487982826149009;0
403.gcc_linux64_0 ;0.579445946529276;0.0541197140316572;0.0824056259214393;0
482.sphinx3_linux64_0 ;0.712388157881901;0;0.574114270166094;0
456.hmmer_linux64_0 ;0.0582539201464369;0.518359684579528;0;2.29845265117498
416.gamess_linux64_0 ;0.693075719796286;0.686495642257438;0;0
999.specrand_linux64_0 ;0.000134673248661885;3.04052091871019E-05;0;0
447.dealII_linux64_0 ;0.552411483063167;0;0;0
473.astar_linux64_0 ;0.44038592355857;0;0.320327165332048;0
400.perlbench_linux64_0 ;0.589680574709585;0;0;0
481.wrf_linux64_0 ;0.00439763595714702;1.17050909575293;0.0874705098290194;1.28209982158308
459.gemsFDTD_linux64_0 ;0;0;1;0
998.specrand_linux64_0 ;0.000133594483914091;4.43967751447909E-05;0;0
