 ;vector_size;extechWatt;completionTime;J;d0_mode_in;d0_mode_out;gpuBusy_2;waveFronts_2;AluBusy_2;aluPacking_2;fetchUnitBusy_2;fetchUnitStalled_2;fastPath_2
 ;16900;143,608;1,526458025;219,2115841;2;2;10,09814644;26112;20,44444275;36,79999542;0;6738,375;6528
 ;33540;142,9266667;1,708482027;244,1876412;2;2;14,82467937;70144;29,39027977;52,90250397;0;17955,5625;17536
 ;66564;144,7344828;1,661806941;240,5207681;2;2;20,14139175;230400;37,81347275;68,06427765;0,000123;58514,0625;57600
 ;132612;141,7107143;1,958631039;277,5590035;2;2;30,00852585;454656;43,99717331;79,25984955;0,066257;115009,875;113664
 ;264196;144,3615385;2,296250105;331,4901978;2;2;36,82726288;638976;47,95720673;86,32314301;0,000385;161001,75;159744
 ;527364;144,8289474;2,370328903;343,29224;2;2;43,7738533;172032;50,00681305;90,01230621;0,0002;43282,8125;43008
 ;1052676;148,873913;2,928951025;436,0444002;2;2;46,13389969;2260992;50,27069473;91,34572601;0,877346992;570649,5;565248,5
 ;2103300;153,2368421;4,428100109;678,5480772;2;2;48,44107819;1179648;50,4593277;92,03942108;1,250144958;308825,125;294912,25
 ;4202500;152,1666667;7,402947903;1126,481906;2;2;54,55459213;2293760;50,67594147;92,52274323;1,326516032;600867,4375;573440,8125
 ;8400900;158,0233333;13,24935055;2093,706538;2;2;56,60412979;2490368;50,44565201;92,87172699;2,110511065;750123,6875;622603,25
 ;16793604;158,46;88,28333282;13989,37692;2;2;40,684021;524288;49,74782181;92,5092392;2,994235992;157881,375;131073,625
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;0,998012271;0,849214228;0,999836522;1;#DIV/0!;#DIV/0!;0,760233976;0,782805952;0,550331077;0,566689098;0,882248891;0,798004728;0,782806153
