J,mode;J,vector_size;J,samples;J,use_float_4;J,n_thread_host;J,n_device;J,d0_size;J,d0_mode_in;J,d0_mode_out;J,d1_size;J,d1_mode_in;J,d1_mode_out;J,d2_size;J,d2_mode_in;J,d2_mode_out;J,extechWatt;J,completionTime;J,gpuBusy_1;J,aluInsts_1;J,fetchInsts_1;J,wrInsts_1;J,waveFronts_1;J,AluBusy_1;J,aluFetchRatio_1;J,aluPacking_1;J,aluPacking_1;J,fetchUnitBusy_1;J,fetchUnitStalled_1;J,fetchSize_1;J,cacheHit_1;J,writeUnitStalled_1;J,ldsFetchInst_1;J,aluStalledByLds_1;J,ldsBankConfl_1;J,fastPath_1;J,completePath_1;J,pathUtil_1;J,gpuBusy_2;J,aluInsts_2;J,fetchInsts_2;J,wrInsts_2;J,waveFronts_2;J,AluBusy_2;J,aluFetchRatio_2;J,aluPacking_2;J,aluPacking_2;J,fetchUnitBusy_2;J,fetchUnitStalled_2;J,fetchSize_2;J,cacheHit_2;J,writeUnitStalled_2;J,ldsFetchInst_2;J,aluStalledByLds_2;J,ldsBankConfl_2;J,fastPath_2;J,completePath_2;J,pathUtil_2;J,gpuBusy_3;J,aluInsts_3;J,fetchInsts_3;J,wrInsts_3;J,waveFronts_3;J,AluBusy_3;J,aluFetchRatio_3;J,aluPacking_3;J,aluPacking_3;J,fetchUnitBusy_3;J,fetchUnitStalled_3;J,fetchSize_3;J,cacheHit_3;J,writeUnitStalled_3;J,ldsFetchInst_3;J,aluStalledByLds_3;J,ldsBankConfl_3;J,fastPath_3;J,completePath_3;J,pathUtil_3;J,J;J,matrix_size;extechWatt,mode;extechWatt,vector_size;extechWatt,samples;extechWatt,use_float_4;extechWatt,n_thread_host;extechWatt,n_device;extechWatt,d0_size;extechWatt,d0_mode_in;extechWatt,d0_mode_out;extechWatt,d1_size;extechWatt,d1_mode_in;extechWatt,d1_mode_out;extechWatt,d2_size;extechWatt,d2_mode_in;extechWatt,d2_mode_out;extechWatt,extechWatt;extechWatt,completionTime;extechWatt,gpuBusy_1;extechWatt,aluInsts_1;extechWatt,fetchInsts_1;extechWatt,wrInsts_1;extechWatt,waveFronts_1;extechWatt,AluBusy_1;extechWatt,aluFetchRatio_1;extechWatt,aluPacking_1;extechWatt,aluPacking_1;extechWatt,fetchUnitBusy_1;extechWatt,fetchUnitStalled_1;extechWatt,fetchSize_1;extechWatt,cacheHit_1;extechWatt,writeUnitStalled_1;extechWatt,ldsFetchInst_1;extechWatt,aluStalledByLds_1;extechWatt,ldsBankConfl_1;extechWatt,fastPath_1;extechWatt,completePath_1;extechWatt,pathUtil_1;extechWatt,gpuBusy_2;extechWatt,aluInsts_2;extechWatt,fetchInsts_2;extechWatt,wrInsts_2;extechWatt,waveFronts_2;extechWatt,AluBusy_2;extechWatt,aluFetchRatio_2;extechWatt,aluPacking_2;extechWatt,aluPacking_2;extechWatt,fetchUnitBusy_2;extechWatt,fetchUnitStalled_2;extechWatt,fetchSize_2;extechWatt,cacheHit_2;extechWatt,writeUnitStalled_2;extechWatt,ldsFetchInst_2;extechWatt,aluStalledByLds_2;extechWatt,ldsBankConfl_2;extechWatt,fastPath_2;extechWatt,completePath_2;extechWatt,pathUtil_2;extechWatt,gpuBusy_3;extechWatt,aluInsts_3;extechWatt,fetchInsts_3;extechWatt,wrInsts_3;extechWatt,waveFronts_3;extechWatt,AluBusy_3;extechWatt,aluFetchRatio_3;extechWatt,aluPacking_3;extechWatt,aluPacking_3;extechWatt,fetchUnitBusy_3;extechWatt,fetchUnitStalled_3;extechWatt,fetchSize_3;extechWatt,cacheHit_3;extechWatt,writeUnitStalled_3;extechWatt,ldsFetchInst_3;extechWatt,aluStalledByLds_3;extechWatt,ldsBankConfl_3;extechWatt,fastPath_3;extechWatt,completePath_3;extechWatt,pathUtil_3;extechWatt,J;extechWatt,matrix_size;completionTime,mode;completionTime,vector_size;completionTime,samples;completionTime,use_float_4;completionTime,n_thread_host;completionTime,n_device;completionTime,d0_size;completionTime,d0_mode_in;completionTime,d0_mode_out;completionTime,d1_size;completionTime,d1_mode_in;completionTime,d1_mode_out;completionTime,d2_size;completionTime,d2_mode_in;completionTime,d2_mode_out;completionTime,extechWatt;completionTime,completionTime;completionTime,gpuBusy_1;completionTime,aluInsts_1;completionTime,fetchInsts_1;completionTime,wrInsts_1;completionTime,waveFronts_1;completionTime,AluBusy_1;completionTime,aluFetchRatio_1;completionTime,aluPacking_1;completionTime,aluPacking_1;completionTime,fetchUnitBusy_1;completionTime,fetchUnitStalled_1;completionTime,fetchSize_1;completionTime,cacheHit_1;completionTime,writeUnitStalled_1;completionTime,ldsFetchInst_1;completionTime,aluStalledByLds_1;completionTime,ldsBankConfl_1;completionTime,fastPath_1;completionTime,completePath_1;completionTime,pathUtil_1;completionTime,gpuBusy_2;completionTime,aluInsts_2;completionTime,fetchInsts_2;completionTime,wrInsts_2;completionTime,waveFronts_2;completionTime,AluBusy_2;completionTime,aluFetchRatio_2;completionTime,aluPacking_2;completionTime,aluPacking_2;completionTime,fetchUnitBusy_2;completionTime,fetchUnitStalled_2;completionTime,fetchSize_2;completionTime,cacheHit_2;completionTime,writeUnitStalled_2;completionTime,ldsFetchInst_2;completionTime,aluStalledByLds_2;completionTime,ldsBankConfl_2;completionTime,fastPath_2;completionTime,completePath_2;completionTime,pathUtil_2;completionTime,gpuBusy_3;completionTime,aluInsts_3;completionTime,fetchInsts_3;completionTime,wrInsts_3;completionTime,waveFronts_3;completionTime,AluBusy_3;completionTime,aluFetchRatio_3;completionTime,aluPacking_3;completionTime,aluPacking_3;completionTime,fetchUnitBusy_3;completionTime,fetchUnitStalled_3;completionTime,fetchSize_3;completionTime,cacheHit_3;completionTime,writeUnitStalled_3;completionTime,ldsFetchInst_3;completionTime,aluStalledByLds_3;completionTime,ldsBankConfl_3;completionTime,fastPath_3;completionTime,completePath_3;completionTime,pathUtil_3;completionTime,J;completionTime,matrix_size;
OPENCL 65536 8334.000000 1 0 1 0 0 0 -1 -1 -1 -1 -1 -1 Non un numero reale;0,702440179914121;-0,326961765734289;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;-0,195646678493254;-0,205866743065949;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;0,99992169197371;0,362452570004694;-0,0300615678618522;Non un numero reale;Non un numero reale;Non un numero reale;0,133499426239024;0,344524779759138;Non un numero reale;-Infinito;-0,0192340276922315;-0,0261940530159255;0,133499426239024;Non un numero reale;Non un numero reale;+Infinito;Non un numero reale;0,342488511341082;0,344524803099453;0,127953221445926;Non un numero reale;0,101591587243763;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;1;0,132441392114938;Non un numero reale;0,711027728805957;-0,333570221092394;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;-0,192172745647754;-0,202186961078583;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;1;0,361666354248294;-0,0250697371822255;Non un numero reale;Non un numero reale;Non un numero reale;0,139579805557355;0,345639074484418;Non un numero reale;-Infinito;-0,0148638690970623;-0,0216879116847944;0,139579805557355;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;0,34357836687294;0,345639097644396;0,133944473264234;Non un numero reale;0,103817699622069;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;0,99992169197371;0,138494988504288;Non un numero reale;0,322415500664965;-0,0600424651455404;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;-0,605861674666291;-0,688299214626669;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;0,361666354248294;1;-0,203833880649634;+Infinito;Non un numero reale;Non un numero reale;0,172720451008039;0,283547247316985;+Infinito;Non un numero reale;-0,247426869228497;-0,238640195931905;0,172720451008039;Non un numero reale;Non un numero reale;+Infinito;+Infinito;0,285405332881155;0,283547251592715;0,166522457763526;Non un numero reale;-0,0143708606591731;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;0,362452570004694;0,172924872184217;
OPENCL 65536 8334.000000 1 0 1 0 0 0 -1 -1 -1 -1 -1 -1 Non un numero reale;0,702440179914121;-0,326961765734289;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;-0,195646678493254;-0,205866743065949;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;0,99992169197371;0,362452570004694;-0,0300615678618522;Non un numero reale;Non un numero reale;Non un numero reale;0,133499426239024;0,344524779759138;Non un numero reale;-Infinito;-0,0192340276922315;-0,0261940530159255;0,133499426239024;Non un numero reale;Non un numero reale;+Infinito;Non un numero reale;0,342488511341082;0,344524803099453;0,127953221445926;Non un numero reale;0,101591587243763;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;1;0,132441392114938;Non un numero reale;0,711027728805957;-0,333570221092394;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;-0,192172745647754;-0,202186961078583;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;1;0,361666354248294;-0,0250697371822255;Non un numero reale;Non un numero reale;Non un numero reale;0,139579805557355;0,345639074484418;Non un numero reale;-Infinito;-0,0148638690970623;-0,0216879116847944;0,139579805557355;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;0,34357836687294;0,345639097644396;0,133944473264234;Non un numero reale;0,103817699622069;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;0,99992169197371;0,138494988504288;Non un numero reale;0,322415500664965;-0,0600424651455404;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;-0,605861674666291;-0,688299214626669;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;0,361666354248294;1;-0,203833880649634;+Infinito;Non un numero reale;Non un numero reale;0,172720451008039;0,283547247316985;+Infinito;Non un numero reale;-0,247426869228497;-0,238640195931905;0,172720451008039;Non un numero reale;Non un numero reale;+Infinito;+Infinito;0,285405332881155;0,283547251592715;0,166522457763526;Non un numero reale;-0,0143708606591731;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;Non un numero reale;0,362452570004694;0,172924872184217;
