 ;vector_size;extechWatt;completionTime;J;d0_mode_in;d0_mode_out;gpuBusy_1;waveFronts_1;AluBusy_1;aluPacking_1;fetchUnitBusy_1;fetchUnitStalled_1;fastPath_1;
 ;65536;154,097058823529;1,18843603134155;183,134497029641;1;1;7,81296300888062;457152;0,16083799302578;6,30064105987549;6,5964789390564;914304;457152;
 ;131072;156,105555555556;1,36328196525574;212,815888565116;1;1;13,9622220993042;853376;0,162883996963501;24,1287269592285;24,7487449645996;1706752;853376;
 ;262144;156,725;1,86179995536804;291,790598005056;1;1;19,86159324646;1280000;0,162946000695229;36,4837265014648;36,9641418457031;2560000;1280639,75;
 ;524288;158,402941176471;2,51203799247742;397,91420635546;1;1;28,2420349121094;1828864;0,168797001242638;44,6080474853516;44,9057922363281;3657728;1830384,875;
 ;1048576;156,33;4,17581987380981;652,805920872688;1;1;35,7078094482422;2498560;0,159297004342079;27,633508682251;28,0469074249268;4997120;2500553;
 ;2097152;153,531578947368;6,62620687484741;1017,33200392723;1;1;36,3815498352051;2969600;0,199355006217957;15,9062309265137;16,0229835510254;5939200;2971022,25;
 ;4194304;155,188888888889;11,0421314239502;1713,61610664792;1;1;37,4066467285156;3305472;0,234414994716644;9,43671035766602;9,42923069000244;6610944;3306311,25;
 ;8388608;156,505555555556;20,5167789459229;3210,98988714218;1;1;38,6553573608398;3661824;0,242026001214981;5,08858108520508;4,99245309829712;7323648;3662431,5;
 ;16777216;154,355555555556;40,2794761657715;6217,36092105442;1;1;40,5586700439453;3751936;0,238566994667053;2,51980090141296;2,37934494018555;7503872;3752533,5;
 ;33554432;149,525;88,1904754638672;13186,6808437347;1;1;36,71435546875;3440640;0,241922006011009;1,40160000324249;1,23238301277161;6881280;3441259,5;
 ;67108864;152,226315789474;221,395355224609;33702,1992587441;1;1;30,5708408355713;2818048;0,229752004146576;0,751609981060028;0,577845990657806;5636096;2818631;
