 ;vector_size;extechWatt;completionTime;J;d0_mode_in;d0_mode_out;gpuBusy_2;waveFronts_2;AluBusy_2;aluPacking_2;fetchUnitBusy_2;fetchUnitStalled_2;fastPath_2;;J/size
 ;65536;145,8833333;1,566372037;228,507574;1;1;11,13300991;3392;1,916561007;28,65299034;27,41658974;6784;3392;;0,003486749
 ;131072;145,275;1,719813943;249,8459706;1;1;16,71997261;14976;2,264477015;47,96316147;46,25551987;29952;14976;;0,001906173
 ;262144;146,1137931;2,179718018;318,4868674;1;1;26,74691963;16128;2,65161705;59,48596191;57,38912582;32256;16128;;0,001214931
 ;524288;150,2019231;2,46696496;370,5428812;1;1;36,13904953;72192;3,187799931;36,5219574;34,07685471;144384;72192;;0,000706754
 ;1048576;150,1724138;3,692629099;554,531025;1;1;43,66814041;8192;3,367665052;20,22860909;17,63527679;16384;8192;;0,000528842
 ;2097152;150,862963;5,723552227;863,4720476;1;1;47,38690186;47104;3,213660002;7,95062685;5,393826008;94208;47104;;0,000411736
 ;4194304;151,7442308;9,44490242;1433,209452;1;1;52,82683563;221184;3,441685915;5,419878006;2,674845934;442368;221184;;0,000341704
 ;8388608;151,7944444;17,09293747;2594,612947;1;1;59,55912399;49152;3,234174967;4,062872887;1,487782955;98304;49152;;0,000309302
 ;16777216;152,4648148;31,26551628;4766,89115;1;1;61,21181488;262144;3,278068066;4,542047024;1,921859026;524288;262144;;0,000284129
 ;33554432;152,84;60,80714417;9293,763914;1;1;64,62397003;98304;3,168407917;4,483272076;1,955513954;196608;98304;;0,000276976
 ;67108864;155,0403226;252,4047546;39132,91458;1;1;72,06108856;65536;3,071744919;4,351908207;1,897143006;131072;65536;;0,000583126
