 ;vector_size;extechWatt;completionTime;J;d0_mode_in;d0_mode_out;gpuBusy_1;waveFronts_1;AluBusy_1;aluPacking_1;fetchUnitBusy_1;fetchUnitStalled_1;fastPath_1
 ;16900;150,478125;1,600999951;240,9154708;0;0;2,509548903;1280000;2,922718048;5,371084213;0,125304997;330312,5;320000
 ;33540;153,3473684;1,827317953;280,2143994;0;0;2,279813051;2695168;5,603997231;10,23514271;0,162945002;689913;673792
 ;66564;155,021875;2,18088603;338,0850416;0;0;2,236263037;3792896;9,816571236;17,80054474;0,136947006;963271,5;948224
 ;132612;152,51875;2,782460928;424,3774627;0;0;2,01948595;6025216;16,85107422;30,79680634;0,498948008;1524139,875;1506304
 ;264196;161,8088235;3,6967659;598,1693411;0;0;2,040045023;9752576;25,45940018;46,43704224;0,638324022;2457340,75;2438144
 ;527364;154,10625;5,542215824;854,0900973;0;0;2,14861989;12419072;31,7114563;62,40543365;5,490421772;3123054,75;3104768
 ;1052676;154,4235294;9,221389771;1423,999554;0;0;2,204148054;15319040;37,82196045;74,36997223;6,479754925;3844778,5;3829760
 ;2103300;154,6147059;16,46299744;2545,421507;0;0;2,776459932;17268736;33,62667465;85,34115601;25,02511978;4329870;4317184
 ;4202500;153,04375;30,44483948;4659,392402;0;0;2,859596014;18415616;35,43072128;88,68608093;25,10162926;4612982,5;4603904
 ;8400900;153,7653846;94,41176605;14517,26152;0;0;11,06377983;8912896;5,243933201;15,57345104;6,19927597;2244961,5;2228224
 ;16793604;152,6657895;219,8205109;33559,07183;0;0;8,811359406;10223616;5,190415859;15,65155411;6,363941193;2572508,25;2555904
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
corr with J;0,999641728;-0,08423418;0,999962561;1;#DIV/0!;#DIV/0!;0,783273708;0,820078739;0,673379562;0,807607899;0,929571216;0,819103421;0,820078739
