 ;vector_size;extechWatt;completionTime;J;d0_mode_in;d0_mode_out;gpuBusy_1;waveFronts_1;AluBusy_1;aluPacking_1;fetchUnitBusy_1;fetchUnitStalled_1;fastPath_1
 ;65536;140,8868421;1,258157015;177,2577687;1;2;5,442378998;492352;0,216102004;8,303078651;9,705047607;984704;492352
 ;131072;142,2194444;1,314684033;186,9736328;1;2;9,366715431;853376;0,221031994;30,20527267;30,80024719;1706752;853376
 ;262144;139,85;1,796795964;251,2819156;1;2;15,27264118;1422336;0,219610006;48,15525055;48,71784592;2844672;1422992
 ;524288;146,0184211;2,256539106;329,4962774;1;2;24,94913483;2133504;0,217646003;56,55319977;56,83039093;4267008;2135200,5
 ;1048576;150,5125;3,074467897;462,7458494;1;2;32,84870529;2695168;0,242054999;38,02981949;38,49966431;5390336;2697248,5
 ;2097152;148,375;4,961607933;736,1785771;1;2;37,27876663;3414016;0,257028997;20,41491318;20,56148911;6828032;3415504
 ;4194304;147,1633333;8,560475349;1259,788087;1;2;41,50307465;3792896;0,26967901;10,84809494;10,81324291;7585792;3793753,5
 ;8388608;151,775;15,96399975;2422,936062;1;2;43,68775177;4096000;0,277298987;5,676772118;5,54559803;8192000;4096640,5
 ;16777216;146,196875;30,8720932;4513,403551;1;2;45,8085556;4227072;0,272199988;2,899301052;2,726155043;8454144;4227698,5
 ;33554432;145,5882353;61,93571472;9017,111408;1;2;45,78330994;4587520;0,270343006;1,54846096;1,355105042;9175040;4588218
 ;67108864;149,9815789;195,7451019;29358,15946;1;2;30,61312294;3342336;0,274435997;0,896412015;0,691100001;6684672;3343057,25
;;;;;;;;;;;;;
;;;;;;;;;;;;;
corr J senza ultimi 2;0,999814665;0,374814067;0,999804177;1;#DIV/0!;#DIV/0!;0,71713547;0,744144347;0,761286253;-0,625162504;-0,638470759;0,744144347;0,743940503
corr J tutti;0,980514528;0,347739966;0,999953263;1;#DIV/0!;#DIV/0!;0,204734012;0,331497911;0,497544739;-0,483360371;-0,490343317;0,331497911;0,331403534
